time,x,y
5.5300,6.9288,2.8930
5.5400,6.9526,2.9065
5.5500,6.9766,2.9201
5.5600,7.0005,2.9337
5.5700,7.0245,2.9474
5.5800,7.0486,2.9610
5.5900,7.0727,2.9747
5.6000,7.0968,2.9885
5.6100,7.1210,3.0023
5.6200,7.1452,3.0161
5.6300,7.1694,3.0299
5.6400,7.1937,3.0438
5.6500,7.2180,3.0577
5.6600,7.2424,3.0716
5.6700,7.2668,3.0856
5.6800,7.2912,3.0996
5.6900,7.3157,3.1136
5.7000,7.3402,3.1277
5.7100,7.3648,3.1418
5.7200,7.3893,3.1559
5.7300,7.4140,3.1701
5.7400,7.4387,3.1843
5.7500,7.4634,3.1985
5.7600,7.4881,3.2128
5.7700,7.5129,3.2271
5.7800,7.5377,3.2414
5.7900,7.5626,3.2558
5.8000,7.5875,3.2702
5.8100,7.6124,3.2846
5.8200,7.6374,3.2990
5.8300,7.6624,3.3135
5.8400,7.6875,3.3281
5.8500,7.7126,3.3426
5.8600,7.7377,3.3572
5.8700,7.7629,3.3718
5.8800,7.7881,3.3865
5.8900,7.8134,3.4012
5.9000,7.8387,3.4159
5.9100,7.8640,3.4306
5.9200,7.8894,3.4454
5.9300,7.9148,3.4603
5.9400,7.9402,3.4751
5.9500,7.9657,3.4900
5.9600,7.9912,3.5049
5.9700,8.0168,3.5199
5.9800,8.0424,3.5349
5.9900,8.0680,3.5499
6.0000,8.0937,3.5649
6.0100,8.1194,3.5800
6.0200,8.1452,3.5951
6.0300,8.1710,3.6103
6.0400,8.1968,3.6255
6.0500,8.2227,3.6407
6.0600,8.2486,3.6560
6.0700,8.2745,3.6712
6.0800,8.3005,3.6866
6.0900,8.3265,3.7019
6.1000,8.3526,3.7173
6.1100,8.3787,3.7327
6.1200,8.4048,3.7482
6.1300,8.4310,3.7637
6.1400,8.4572,3.7792
6.1500,8.4835,3.7947
6.1600,8.5098,3.8103
6.1700,8.5361,3.8260
6.1800,8.5625,3.8416
6.1900,8.5889,3.8573
6.2000,8.6153,3.8730
6.2100,8.6418,3.8888
6.2200,8.6683,3.9046
6.2300,8.6949,3.9204
6.2400,8.7215,3.9363
6.2500,8.7481,3.9521
6.2600,8.7747,3.9680
6.2700,8.8014,3.9839
6.2800,8.8281,3.9999
6.2900,8.8549,4.0158
6.3000,8.8817,4.0318
6.3100,8.9086,4.0478
6.3200,8.9355,4.0638
6.3300,8.9624,4.0798
6.3400,8.9894,4.0959
6.3500,9.0165,4.1120
6.3600,9.0436,4.1280
6.3700,9.0707,4.1442
6.3800,9.0979,4.1603
6.3900,9.1252,4.1765
6.4000,9.1524,4.1926
6.4100,9.1798,4.2088
6.4200,9.2071,4.2250
6.4300,9.2346,4.2413
6.4400,9.2620,4.2575
6.4500,9.2895,4.2738
6.4600,9.3171,4.2901
6.4700,9.3447,4.3064
6.4800,9.3723,4.3228
6.4900,9.4000,4.3391
6.5000,9.4278,4.3555
6.5100,9.4556,4.3719
6.5200,9.4834,4.3883
6.5300,9.5113,4.4047
6.5400,9.5392,4.4212
6.5500,9.5672,4.4377
6.5600,9.5952,4.4542
6.5700,9.6232,4.4707
6.5800,9.6514,4.4872
6.5900,9.6795,4.5038
6.6000,9.7077,4.5204
6.6100,9.7360,4.5370
6.6200,9.7643,4.5536
6.6300,9.7926,4.5702
6.6400,9.8210,4.5869
6.6500,9.8494,4.6036
6.6600,9.8779,4.6203
6.6700,9.9064,4.6370
6.6800,9.9350,4.6537
6.6900,9.9636,4.6705
6.7000,9.9923,4.6873
6.7100,10.0210,4.7041
6.7200,10.0498,4.7209
6.7300,10.0786,4.7377
6.7400,10.1074,4.7546
6.7500,10.1363,4.7714
6.7600,10.1653,4.7883
6.7700,10.1942,4.8053
6.7800,10.2233,4.8222
6.7900,10.2524,4.8392
6.8000,10.2815,4.8561
6.8100,10.3107,4.8731
6.8200,10.3399,4.8901
6.8300,10.3692,4.9072
6.8400,10.3985,4.9242
6.8500,10.4278,4.9413
6.8600,10.4572,4.9584
6.8700,10.4867,4.9755
6.8800,10.5162,4.9926
6.8900,10.5457,5.0098
6.9000,10.5753,5.0270
6.9100,10.6050,5.0442
6.9200,10.6347,5.0614
6.9300,10.6644,5.0786
6.9400,10.6942,5.0958
6.9500,10.7240,5.1131
6.9600,10.7539,5.1304
6.9700,10.7838,5.1477
6.9800,10.8138,5.1650
6.9900,10.8438,5.1824
7.0000,10.8738,5.1998
7.0100,10.9039,5.2171
7.0200,10.9341,5.2345
7.0300,10.9643,5.2520
7.0400,10.9945,5.2694
7.0500,11.0248,5.2869
